"gameId","season","week","gameDate","gameTimeEastern","homeTeamAbbr","visitorTeamAbbr"
2018090600,2018,1,"09/06/2018",20:20:00,"PHI","ATL"
2018090900,2018,1,"09/09/2018",13:00:00,"BAL","BUF"
2018090901,2018,1,"09/09/2018",13:00:00,"CLE","PIT"
2018090902,2018,1,"09/09/2018",13:00:00,"IND","CIN"
2018090903,2018,1,"09/09/2018",13:00:00,"MIA","TEN"
2018090905,2018,1,"09/09/2018",13:00:00,"NE","HOU"
2018090906,2018,1,"09/09/2018",13:00:00,"NO","TB"
2018090907,2018,1,"09/09/2018",13:00:00,"NYG","JAX"
2018090909,2018,1,"09/09/2018",16:25:00,"ARI","WAS"
2018090910,2018,1,"09/09/2018",16:25:00,"CAR","DAL"
2018090912,2018,1,"09/09/2018",20:20:00,"GB","CHI"
2018091000,2018,1,"09/10/2018",19:10:00,"DET","NYJ"
2018091001,2018,1,"09/10/2018",22:20:00,"OAK","LA"
2018091300,2018,2,"09/13/2018",20:20:00,"CIN","BAL"
2018091600,2018,2,"09/16/2018",13:00:00,"ATL","CAR"
2018091601,2018,2,"09/16/2018",13:00:00,"BUF","LAC"
2018091602,2018,2,"09/16/2018",13:00:00,"GB","MIN"
2018091603,2018,2,"09/16/2018",13:00:00,"NO","CLE"
2018091604,2018,2,"09/16/2018",13:00:00,"NYJ","MIA"
2018091605,2018,2,"09/16/2018",13:00:00,"PIT","KC"
2018091606,2018,2,"09/16/2018",13:00:00,"TB","PHI"
2018091607,2018,2,"09/16/2018",13:00:00,"TEN","HOU"
2018091608,2018,2,"09/16/2018",13:00:00,"WAS","IND"
2018091609,2018,2,"09/16/2018",16:05:00,"LA","ARI"
2018091610,2018,2,"09/16/2018",16:05:00,"SF","DET"
2018091611,2018,2,"09/16/2018",16:25:00,"DEN","OAK"
2018091612,2018,2,"09/16/2018",16:25:00,"JAX","NE"
2018091613,2018,2,"09/16/2018",20:20:00,"DAL","NYG"
2018091700,2018,2,"09/17/2018",20:15:00,"CHI","SEA"
2018092000,2018,3,"09/20/2018",20:20:00,"CLE","NYJ"
2018092300,2018,3,"09/23/2018",13:00:00,"ATL","NO"
2018092301,2018,3,"09/23/2018",13:00:00,"BAL","DEN"
2018092302,2018,3,"09/23/2018",13:00:00,"CAR","CIN"
2018092303,2018,3,"09/23/2018",13:00:00,"HOU","NYG"
2018092304,2018,3,"09/23/2018",13:00:00,"JAX","TEN"
2018092305,2018,3,"09/23/2018",13:00:00,"KC","SF"
2018092306,2018,3,"09/23/2018",13:00:00,"MIA","OAK"
2018092307,2018,3,"09/23/2018",13:00:00,"MIN","BUF"
2018092308,2018,3,"09/23/2018",13:00:00,"PHI","IND"
2018092309,2018,3,"09/23/2018",13:00:00,"WAS","GB"
2018092310,2018,3,"09/23/2018",16:05:00,"LA","LAC"
2018092311,2018,3,"09/23/2018",16:25:00,"ARI","CHI"
2018092312,2018,3,"09/23/2018",16:25:00,"SEA","DAL"
2018092313,2018,3,"09/23/2018",20:20:00,"DET","NE"
2018092400,2018,3,"09/24/2018",20:15:00,"TB","PIT"
2018092700,2018,4,"09/27/2018",20:20:00,"LA","MIN"
2018093000,2018,4,"09/30/2018",13:00:00,"ATL","CIN"
2018093001,2018,4,"09/30/2018",13:00:00,"CHI","TB"
2018093002,2018,4,"09/30/2018",13:00:00,"DAL","DET"
2018093003,2018,4,"09/30/2018",13:00:00,"GB","BUF"
2018093004,2018,4,"09/30/2018",13:00:00,"IND","HOU"
2018093005,2018,4,"09/30/2018",13:00:00,"JAX","NYJ"
2018093006,2018,4,"09/30/2018",13:00:00,"NE","MIA"
2018093007,2018,4,"09/30/2018",13:00:00,"TEN","PHI"
2018093008,2018,4,"09/30/2018",16:05:00,"ARI","SEA"
2018093009,2018,4,"09/30/2018",16:05:00,"OAK","CLE"
2018093010,2018,4,"09/30/2018",16:25:00,"LAC","SF"
2018093011,2018,4,"09/30/2018",16:25:00,"NYG","NO"
2018093012,2018,4,"09/30/2018",20:20:00,"PIT","BAL"
2018100100,2018,4,"10/01/2018",20:15:00,"DEN","KC"
2018100400,2018,5,"10/04/2018",20:20:00,"NE","IND"
2018100700,2018,5,"10/07/2018",13:00:00,"BUF","TEN"
2018100701,2018,5,"10/07/2018",13:00:00,"CAR","NYG"
2018100702,2018,5,"10/07/2018",13:00:00,"CIN","MIA"
2018100703,2018,5,"10/07/2018",13:00:00,"CLE","BAL"
2018100704,2018,5,"10/07/2018",13:00:00,"DET","GB"
2018100705,2018,5,"10/07/2018",13:00:00,"KC","JAX"
2018100706,2018,5,"10/07/2018",13:00:00,"NYJ","DEN"
2018100707,2018,5,"10/07/2018",13:00:00,"PIT","ATL"
2018100708,2018,5,"10/07/2018",16:05:00,"LAC","OAK"
2018100709,2018,5,"10/07/2018",16:25:00,"PHI","MIN"
2018100710,2018,5,"10/07/2018",16:25:00,"SF","ARI"
2018100711,2018,5,"10/07/2018",16:25:00,"SEA","LA"
2018100712,2018,5,"10/07/2018",20:20:00,"HOU","DAL"
2018100800,2018,5,"10/08/2018",20:15:00,"NO","WAS"
2018101100,2018,6,"10/11/2018",20:20:00,"NYG","PHI"
2018101400,2018,6,"10/14/2018",13:00:00,"ATL","TB"
2018101401,2018,6,"10/14/2018",13:00:00,"CIN","PIT"
2018101402,2018,6,"10/14/2018",13:00:00,"CLE","LAC"
2018101403,2018,6,"10/14/2018",13:00:00,"HOU","BUF"
2018101404,2018,6,"10/14/2018",13:00:00,"MIA","CHI"
2018101405,2018,6,"10/14/2018",13:00:00,"MIN","ARI"
2018101406,2018,6,"10/14/2018",13:00:00,"NYJ","IND"
2018101407,2018,6,"10/14/2018",13:00:00,"OAK","SEA"
2018101408,2018,6,"10/14/2018",13:00:00,"WAS","CAR"
2018101409,2018,6,"10/14/2018",16:05:00,"DEN","LA"
2018101410,2018,6,"10/14/2018",16:25:00,"DAL","JAX"
2018101411,2018,6,"10/14/2018",16:25:00,"TEN","BAL"
2018101412,2018,6,"10/14/2018",20:20:00,"NE","KC"
2018101500,2018,6,"10/15/2018",20:15:00,"GB","SF"
2018101800,2018,7,"10/18/2018",20:20:00,"ARI","DEN"
2018102100,2018,7,"10/21/2018",09:30:00,"LAC","TEN"
2018102101,2018,7,"10/21/2018",16:05:00,"BAL","NO"
2018102102,2018,7,"10/21/2018",13:00:00,"CHI","NE"
2018102103,2018,7,"10/21/2018",13:00:00,"IND","BUF"
2018102104,2018,7,"10/21/2018",13:00:00,"JAX","HOU"
2018102105,2018,7,"10/21/2018",20:20:00,"KC","CIN"
2018102106,2018,7,"10/21/2018",13:00:00,"MIA","DET"
2018102107,2018,7,"10/21/2018",13:00:00,"NYJ","MIN"
2018102108,2018,7,"10/21/2018",13:00:00,"PHI","CAR"
2018102109,2018,7,"10/21/2018",13:00:00,"TB","CLE"
2018102110,2018,7,"10/21/2018",16:25:00,"WAS","DAL"
2018102111,2018,7,"10/21/2018",16:25:00,"SF","LA"
2018102200,2018,7,"10/22/2018",20:15:00,"ATL","NYG"
2018102500,2018,8,"10/25/2018",20:20:00,"HOU","MIA"
2018102800,2018,8,"10/28/2018",09:30:00,"JAX","PHI"
2018102801,2018,8,"10/28/2018",13:00:00,"CAR","BAL"
2018102802,2018,8,"10/28/2018",13:00:00,"CHI","NYJ"
2018102803,2018,8,"10/28/2018",13:00:00,"CIN","TB"
2018102804,2018,8,"10/28/2018",13:00:00,"DET","SEA"
2018102805,2018,8,"10/28/2018",13:00:00,"KC","DEN"
2018102806,2018,8,"10/28/2018",13:00:00,"NYG","WAS"
2018102807,2018,8,"10/28/2018",13:00:00,"PIT","CLE"
2018102808,2018,8,"10/28/2018",16:05:00,"OAK","IND"
2018102809,2018,8,"10/28/2018",16:25:00,"ARI","SF"
2018102810,2018,8,"10/28/2018",16:25:00,"LA","GB"
2018102811,2018,8,"10/28/2018",20:20:00,"MIN","NO"
2018102900,2018,8,"10/29/2018",20:15:00,"BUF","NE"
2018110100,2018,9,"11/01/2018",20:20:00,"SF","OAK"
2018110400,2018,9,"11/04/2018",13:00:00,"BAL","PIT"
2018110401,2018,9,"11/04/2018",13:00:00,"BUF","CHI"
2018110402,2018,9,"11/04/2018",13:00:00,"CAR","TB"
2018110403,2018,9,"11/04/2018",13:00:00,"CLE","KC"
2018110404,2018,9,"11/04/2018",13:00:00,"MIA","NYJ"
2018110405,2018,9,"11/04/2018",13:00:00,"MIN","DET"
2018110406,2018,9,"11/04/2018",13:00:00,"WAS","ATL"
