,gameId,playId,specialTeamsResult,hangTime,playDirection,punt_position_x,punt_position_y,away_player_1,home_player_1,away_player_2,home_player_2,away_player_3,home_player_3,away_player_4,home_player_4,away_player_5,home_player_5,away_player_6,home_player_6,away_player_7,home_player_7,away_player_8,home_player_8,away_player_9,home_player_9,away_player_10,home_player_10,away_player_11,home_player_11,field_position_x,field_position_y,tackle_position_x,tackle_position_y,yards_gained
0,2018090600,366,Return,4.46,right,7.77,29.73,"(46.96, 36.67)","(50.25, 26.89)","(56.2, 10.24)","(41.81, 27.47)","(42.9, 26.55)","(52.95, 34.72)","(73.11, 38.51)","(42.34, 33.91)","(57.04, 9.29)","(21.44, 37.15)","(53.92, 51.58)","(47.12, 35.97)","(44.67, 33.09)","(54.58, 52.31)","(37.74, 17.24)","(52.67, 24.34)","(51.13, 21.14)","(37.97, 16.11)","(51.12, 48.86)","(27.03, 31.65)","(21.85, 35.13)","(56.55, 9.76)",72.61,39.18,69.06,49.44,3.549999999999997
1,2018090600,1989,Return,4.62,right,26.61,23.58,"(44.4, 26.38)","(92.8, 35.98)","(71.72, 37.62)","(61.68, 31.82)","(60.64, 19.14)","(59.91, 28.16)","(71.42, 32.31)","(58.18, 34.18)","(59.94, 29.97)","(69.51, 28.41)","(60.68, 27.46)","(75.19, 39.92)","(73.43, 28.78)","(60.06, 39.77)","(61.22, 41.27)","(71.66, 30.11)","(57.26, 32.57)","(61.31, 20.36)","(82.1, 38.67)","(71.93, 36.26)","(71.89, 24.33)","(72.89, 37.08)",91.77,35.94,85.47,37.96,6.299999999999997
2,2018090600,2599,Return,4.16,right,26.7,27.04,"(40.06, 31.13)","(82.57, 41.79)","(74.47, 39.08)","(65.38, 38.47)","(60.7, 25.88)","(47.52, 16.56)","(55.99, 34.49)","(58.34, 30.32)","(60.82, 35.18)","(57.69, 25.51)","(58.74, 39.55)","(78.29, 44.4)","(63.49, 31.15)","(56.38, 48.96)","(56.5, 49.93)","(61.75, 31.46)","(65.16, 40.5)","(59.51, 22.73)","(78.59, 44.83)","(73.6, 34.28)","(58.62, 26.87)","(74.88, 38.22)",82.02,42.04,73.31,31.42,8.709999999999994
3,2018090600,3868,Return,4.4,left,90.4,24.2,"(76.99, 27.86)","(29.7, 32.41)","(35.06, 34.62)","(60.98, 16.61)","(65.54, 34.7)","(70.59, 23.49)","(65.7, 38.83)","(76.87, 22.59)","(34.52, 31.06)","(84.74, 27.84)","(71.5, 22.95)","(37.16, 29.14)","(69.43, 21.86)","(77.43, 19.05)","(56.27, 27.96)","(58.26, 28.47)","(72.43, 24.85)","(82.29, 30.89)","(58.36, 20.0)","(67.71, 39.62)","(56.15, 35.43)","(35.09, 33.99)",30.37,32.33,40.0,19.92,9.629999999999999
4,2018090900,485,Return,4.34,left,90.07,29.93,"(53.89, 36.32)","(55.43, 36.78)","(58.75, 38.55)","(57.73, 29.85)","(46.98, 41.23)","(60.9, 43.33)","(62.61, 33.99)","(43.61, 37.37)","(53.01, 42.61)","(59.91, 37.66)","(59.59, 45.85)","(47.01, 35.87)","(66.63, 31.87)","(67.78, 31.14)","(68.4, 30.29)","(72.67, 33.9)","(43.3, 40.28)","(48.39, 38.42)","(61.35, 25.99)","(36.64, 44.64)","(79.7, 32.27)","(61.0, 24.76)",36.61,44.87,35.7,44.1,-0.9099999999999966
5,2018090900,575,Return,4.2,right,26.39,23.83,"(79.23, 43.62)","(41.35, 21.0)","(64.81, 26.29)","(72.55, 42.27)","(81.35, 49.84)","(57.7, 35.66)","(98.19, 51.95)","(67.13, 24.08)","(67.69, 21.61)","(74.51, 38.13)","(74.26, 40.86)","(81.87, 51.02)","(51.22, 20.51)","(65.68, 28.46)","(75.94, 39.71)","(81.51, 45.58)","(61.21, 28.84)","(75.08, 48.89)","(72.26, 41.03)","(67.78, 33.35)","(75.5, 43.47)","(67.29, 50.03)",98.16,52.11,95.53,45.88,2.6299999999999955
6,2018090900,674,Return,4.78,left,101.65,23.88,"(58.35, 35.37)","(64.39, 30.88)","(76.51, 42.64)","(81.26, 40.88)","(45.49, 41.7)","(48.48, 44.14)","(63.32, 34.06)","(71.64, 43.49)","(81.07, 43.37)","(47.41, 34.6)","(71.19, 44.55)","(89.77, 23.84)","(89.32, 21.51)","(69.29, 26.76)","(74.83, 32.83)","(46.4, 44.16)","(46.9, 35.07)","(76.99, 41.8)","(62.25, 23.58)","(41.43, 38.02)","(89.36, 30.09)","(62.91, 24.28)",41.47,38.14,43.44,42.21,1.9699999999999989
7,2018090900,1136,Return,3.62,right,21.98,28.32,"(24.04, 29.16)","(60.89, 27.17)","(50.72, 25.28)","(30.24, 19.61)","(67.83, 23.96)","(40.65, 39.16)","(33.84, 28.31)","(70.43, 36.93)","(51.6, 29.65)","(26.62, 30.86)","(63.65, 27.26)","(31.09, 23.44)","(39.05, 37.2)","(27.45, 21.92)","(29.79, 27.51)","(65.99, 24.66)","(71.47, 36.3)","(41.8, 30.9)","(27.96, 30.22)","(79.88, 28.06)","(23.27, 31.92)","(25.08, 26.78)",79.88,28.12,29.9,7.08,49.98
8,2018090900,1360,Return,4.52,right,22.57,24.96,"(59.28, 30.34)","(69.22, 36.28)","(61.26, 18.75)","(58.78, 20.99)","(76.21, 21.84)","(42.5, 41.86)","(59.0, 27.57)","(74.9, 20.63)","(58.96, 18.84)","(60.51, 22.82)","(55.72, 22.08)","(54.25, 41.28)","(55.69, 40.07)","(55.97, 29.94)","(58.62, 24.91)","(60.54, 48.29)","(59.72, 48.19)","(60.0, 47.42)","(55.48, 28.83)","(80.54, 24.01)","(35.1, 26.93)","(54.97, 31.57)",80.46,23.87,79.4,16.78,1.059999999999988
9,2018090900,3079,Return,4.06,left,97.67,23.98,"(64.17, 23.4)","(89.31, 29.64)","(69.08, 33.41)","(60.92, 37.02)","(58.94, 26.48)","(69.88, 28.23)","(41.39, 25.29)","(58.53, 35.11)","(60.59, 35.36)","(56.0, 33.07)","(58.68, 20.59)","(58.64, 33.21)","(74.26, 39.4)","(64.14, 39.91)","(55.69, 32.03)","(69.92, 26.76)","(65.06, 37.78)","(57.51, 18.2)","(55.84, 28.52)","(62.22, 28.8)","(65.35, 31.02)","(65.49, 20.51)",41.74,25.41,46.66,33.1,4.919999999999995
